name,feature_type,latitude,longitude,size,description
River 7e8e6342,River,-35.845884,136.884352,772.35,Rule without important personal commercial again establish.
Mountain fdf5fff0,Mountain,11.071975,-176.320226,865.38,Decade away fast on cost foot win.
Mountain a5d4234b,Mountain,13.613741,45.913983,740.09,To statement natural various huge happy security sell.
Desert 2b405dc2,Desert,-31.520305,-127.527058,829.18,Ground recognize article fine relate second score behavior game.
River e0cb83dc,River,-26.480284,-159.794035,615.3,Change run resource onto fight theory method war because sell.
River 0761be3c,River,23.845267,-88.922795,952.32,May kitchen story coach skin sound store.
Lake da85b0b0,Lake,41.887613,73.993583,619.84,Technology soon memory later sing race.
Lake 200dd2bd,Lake,-3.286707,127.827754,769.9,Star standard others too career win market physical push simple material anything degree.
River 57b2b7e9,River,-29.901856,154.69077,22.77,Create police around a be tend.
Mountain 73e5280e,Mountain,76.209623,123.69604,539.94,Hit although ever between him give someone no challenge conference show study security fill.
Desert 3496c4c0,Desert,-8.271944,98.631004,143.69,Production enjoy down address agency else eat not affect purpose.
Desert 9a0345d3,Desert,35.033024,-24.130637,820.86,Worker help beautiful pick account party woman factor.
Desert 1fc0f9b8,Desert,-6.647272,164.274145,36.04,Sound often spring yes yet usually news bank success environment debate perhaps myself.
Lake bfa2f0d2,Lake,-11.768034,93.889629,309.03,Spend run well lose rest attack audience off action keep direction drop within.
Forest 6d3c78e5,Forest,-28.247753,-49.307583,513.2,Your shake instead appear paper sound.
Forest afd0d228,Forest,-47.386682,24.954746,393.69,Strong activity war eye analysis thousand still who explain.
Desert a52e9030,Desert,40.313758,128.237875,783.82,Election great major tonight impact personal people call.
River e1226510,River,78.318401,44.042844,55.63,Piece nothing decide anything person build get best likely drop church walk door.
Mountain 31c657a0,Mountain,32.361408,-58.579912,152.68,Learn be check get even dinner back push measure his politics.
Desert 036f6fa3,Desert,76.58339,113.021388,850.62,Service believe tell pattern ten phone experience rise few hand.
Mountain ee2ccc0e,Mountain,88.849219,165.168898,452.9,Present author long majority economy particular game student activity number.
River beb22d49,River,78.714178,124.164073,329.28,Road training question war compare within explain enough consumer itself sometimes continue.
Desert 622b88da,Desert,9.901394,-173.483684,557.92,Someone whether decision wall soldier official security consumer play.
Forest 90d1f915,Forest,-38.963054,67.867085,303.6,Begin buy institution assume point property decision use always city mind fine.
River 92754d37,River,-72.894441,57.244719,65.37,I reality market game begin industry movie difficult product answer.
Lake c1566bc3,Lake,84.23191,72.773912,595.42,Many red may manage wind hard impact but admit kitchen want example understand.
Lake 9b73a6d0,Lake,30.2761,122.218251,475.28,Try oil book spring if pattern attorney.
Forest e005d18b,Forest,52.227636,-50.952897,716.39,Campaign fear agree end color speak score.
Mountain 42d95ccb,Mountain,-43.637085,-2.814273,936.71,Family head else maintain good statement include quite sing fund pass tree street.
Lake bae253e9,Lake,61.083252,-153.702129,227.62,Part result thus administration ability minute despite front Mr.
River 8464b200,River,-69.965681,59.036463,16.87,Car into shoulder about often him against guess ability.
Lake 09796038,Lake,21.918853,149.287057,318.37,Amount arm part option him strategy reflect cost bring very.
River c15a6970,River,-10.663389,-143.656219,848.83,Car employee among air decide several away large beat.
Mountain fad73053,Mountain,26.512065,-118.599136,42.53,Receive business quite society class product explain kid.
Desert 83767a0e,Desert,60.863745,42.162376,284.59,Home section all responsibility officer white should environment.
River 136df778,River,-11.439097,77.311409,124.76,Similar interest none determine each its concern research.
Forest e32e51b6,Forest,-85.081847,-172.239397,161.09,Right thing sell national ball fact.
Forest 33233e92,Forest,-75.410768,-5.650194,410.07,Rich else society mission plan politics available.
River 3b358bac,River,-45.567038,77.289305,554.7,Teach fast five coach activity through travel peace.
River b28b3f12,River,49.728833,-133.145659,71.65,Painting back interesting action her wall population newspaper air give to step.
Lake 0a9fa5f8,Lake,1.452128,-153.766314,858.38,Upon personal war without walk policy.
Forest c402fba3,Forest,-1.468759,-6.108879,831.93,Resource century just anything improve product near here impact parent.
Desert dd0595c4,Desert,-16.307674,-48.050972,203.06,Southern top pull issue those sometimes help keep understand.
River b606b66a,River,28.511359,161.644403,492.73,Owner weight garden yet class know garden others real writer tough window free.
Mountain 04904a80,Mountain,41.32902,-18.931661,489.03,City tell key couple reduce decade consumer.
River 23616adb,River,51.235313,-91.989657,455.91,Task all far keep discuss hour open price court stuff.
Desert ceb9846a,Desert,-79.762566,-48.786808,820.93,Fund south front force city last usually compare.
River 742a6868,River,-70.48435,54.459444,249.22,Free computer positive star would beat fine base seem ground.
River 4977fe29,River,-0.25885,147.059956,869.42,Use truth then it else guy production.
Forest ef765fe3,Forest,38.976424,-33.527943,544.88,Case hand foreign suggest cultural must dinner Republican top left yourself heart.
River 18b54ed7,River,-57.211152,65.059788,209.99,Southern economic we young everyone pay wrong mention nation Mr would stuff huge.
Desert 2244a141,Desert,-84.501948,152.178485,74.95,When worry likely thought party new onto so seem organization treat.
Desert 2375be79,Desert,62.73484,5.115645,801.35,Role design represent during shoulder form contain image situation conference parent such.
River 8a55e9bd,River,-52.703485,5.623079,618.4,We participant phone each cost front star year woman book under quality.
Mountain 7d4f49f0,Mountain,84.019438,-6.294448,316.31,Tree building lead practice do very power line Congress ball lose.
Lake 6d0e5bb4,Lake,-60.379242,38.188751,34.12,Structure project whose since option perhaps truth trial speech today.
Mountain 0f8c1885,Mountain,-33.292763,-135.326918,200.99,Tax growth final food development lay friend.
Desert cc022663,Desert,87.658248,-40.03093,310.42,Rate cost free turn get perform bank.
Mountain d440c1d0,Mountain,-2.41189,-34.680305,335.59,Pretty bad smile because account reduce already firm image.
Mountain 6d45148f,Mountain,-24.361103,-144.480882,703.01,Create without money style party need eight real.
Mountain 39abf2bd,Mountain,-53.699881,-101.077424,74.51,Need contain theory move behavior special else.
Desert 79ff9389,Desert,-53.118164,174.099352,614.58,Put reflect interview suggest which factor firm wonder.
Forest 19d97c85,Forest,-27.66976,-74.667118,180.93,Better also the teach pick standard behavior fall religious.
Mountain 8a162c2a,Mountain,-62.048957,27.402768,176.08,Grow want my receive despite collection executive particularly.
Lake 6abb1a52,Lake,81.913049,-119.072213,920.45,Chair situation opportunity seat control customer television loss yourself fill.
Forest 6c022790,Forest,-61.432096,13.719889,619.87,Modern choose side character at think conference myself action nature skill around tree.
Mountain 91b9fb26,Mountain,8.59892,58.146513,900.95,Possible another appear natural become interview doctor agent close office face official site.
Desert 8a705f37,Desert,-32.190069,-89.766765,360.11,Her history answer growth forget local course religious cover enter finish right laugh.
Lake 3534a661,Lake,67.262172,-146.828496,672.63,Name set trial time alone individual water pattern environmental return.
Lake 244b55df,Lake,-56.393252,103.048851,377.8,Feeling decision letter simple information store five ready help color huge growth discussion.
Desert 44fe16dd,Desert,12.111734,-145.546216,124.7,Certainly office candidate road spend girl body.
Mountain 5562e6be,Mountain,23.704132,-115.062389,590.09,Call how ask size serve upon mention I example final beyond reason card.
Forest 042481de,Forest,-7.254996,-119.313975,961.95,Care edge among strong pass near miss reach safe country piece front.
Mountain 3c0210ac,Mountain,5.5236,-101.750454,558.0,Best capital seat available dream series production response health about protect whatever.
River cf47efa9,River,48.749374,21.845903,912.86,Teach my process election guess article tonight PM account term.
Lake 6d438617,Lake,54.610495,-101.01462,692.88,Card particular number sometimes operation daughter event sea crime control product move area.
Forest 5aba8fa4,Forest,52.065459,171.615017,22.75,Television yet time general easy since.
Forest ce88392a,Forest,-54.138523,141.506515,84.16,Become head purpose TV perhaps one for protect southern consumer book energy seek.
Lake 0e87bae5,Lake,-2.129254,97.274902,119.06,Building fight pattern myself media soldier fight source energy report.
Forest 21933b2c,Forest,7.068415,-109.685343,826.43,Box quite the successful plan push us point have imagine hour.
Forest 31eec2a3,Forest,87.73825,-136.270081,130.92,Song news this time day itself drop resource onto.
Desert a35252ee,Desert,-35.119256,-159.567958,270.43,Summer time interesting campaign similar letter common still people describe sell newspaper tell.
